Start_Lat,Start_Lng,Severity_Group
27.790922,-82.719963,Mild (1-2)
27.551422,-82.369087,Mild (1-2)
37.554943,-121.916428,Severe (3-4)
38.498241,-121.448166,Mild (1-2)
33.870682,-116.493462,Severe (3-4)
42.313068,-87.944244,Mild (1-2)
41.318462,-95.956535,Mild (1-2)
33.909664,-117.558449,Severe (3-4)
37.962097,-122.329376,Severe (3-4)
33.881446999999994,-117.649567,Mild (1-2)
33.812756,-117.831802,Severe (3-4)
28.494427,-81.40095500000002,Mild (1-2)
33.904083,-117.559753,Severe (3-4)
34.033409000000006,-118.18045,Mild (1-2)
33.773251,-118.039406,Severe (3-4)
38.556751,-121.473267,Severe (3-4)
33.960133,-118.280518,Severe (3-4)
25.847122,-80.207489,Severe (3-4)
28.683886,-81.48867800000002,Mild (1-2)
41.973885,-87.76859300000002,Severe (3-4)
33.856460999999996,-117.785622,Mild (1-2)
37.45882,-122.137894,Mild (1-2)
41.257633,-95.942314,Mild (1-2)
33.336895,-84.650253,Mild (1-2)
33.825171999999995,-84.359627,Severe (3-4)
41.829029,-88.096542,Mild (1-2)
28.449965,-81.488037,Mild (1-2)
34.383109999999995,-117.398682,Mild (1-2)
32.74239,-117.182472,Severe (3-4)
28.662039,-81.38846600000002,Severe (3-4)
41.857624,-88.14265400000002,Mild (1-2)
40.006477,-83.030991,Mild (1-2)
33.994816,-118.176689,Severe (3-4)
38.63718400000001,-121.38298,Mild (1-2)
34.236046,-117.659889,Mild (1-2)
28.510101,-81.397041,Severe (3-4)
38.114517,-121.397415,Severe (3-4)
33.92284,-84.485298,Severe (3-4)
34.106606,-118.25583600000002,Severe (3-4)
28.468769,-81.458549,Severe (3-4)
33.931343,-118.395981,Severe (3-4)
33.985119,-118.370743,Mild (1-2)
38.679714,-120.737747,Mild (1-2)
34.22303,-118.248817,Severe (3-4)
34.150745,-118.660202,Severe (3-4)
34.068657,-118.042221,Severe (3-4)
33.856784999999995,-118.028526,Mild (1-2)
34.025681,-118.206398,Mild (1-2)
33.867424,-117.543556,Severe (3-4)
37.763908,-122.419571,Mild (1-2)
33.654469,-117.379097,Mild (1-2)
34.145275,-117.284157,Mild (1-2)
37.75404,-121.485123,Mild (1-2)
28.185806,-82.433357,Mild (1-2)
28.367508,-81.562965,Mild (1-2)
37.651031,-122.452827,Severe (3-4)
34.136375,-117.536865,Mild (1-2)
33.912918,-118.140831,Severe (3-4)
38.574139,-121.577553,Mild (1-2)
34.278271000000004,-119.291519,Mild (1-2)
33.901897,-118.352455,Mild (1-2)
38.574139,-121.577553,Severe (3-4)
27.893478,-82.645393,Severe (3-4)
34.185493,-118.317795,Severe (3-4)
33.92799,-118.28054,Severe (3-4)
27.498482,-82.508781,Mild (1-2)
41.890278,-87.959404,Mild (1-2)
34.293597999999996,-118.470238,Severe (3-4)
37.397102,-121.924248,Mild (1-2)
38.699871,-122.894836,Mild (1-2)
26.54632,-81.868034,Mild (1-2)
37.915211,-122.065819,Severe (3-4)
34.072319,-118.08078799999998,Severe (3-4)
34.226082,-118.375671,Severe (3-4)
34.156834,-118.41378799999998,Mild (1-2)
33.977348,-118.371689,Mild (1-2)
36.969257,-122.116684,Mild (1-2)
37.759823,-122.392258,Severe (3-4)
25.611107,-80.378174,Severe (3-4)
37.452118,-122.126907,Mild (1-2)
42.444176,-83.219803,Mild (1-2)
25.784065,-80.28862,Mild (1-2)
41.859348,-88.067284,Mild (1-2)
38.044559,-120.647003,Mild (1-2)
33.997040000000005,-117.931015,Mild (1-2)
37.257313,-121.79615,Mild (1-2)
34.222504,-119.142418,Mild (1-2)
33.867325,-118.290276,Mild (1-2)
38.261314,-122.059738,Severe (3-4)
38.682713,-121.33628799999998,Severe (3-4)
41.900002,-88.19564799999998,Mild (1-2)
25.848932,-80.207596,Severe (3-4)
34.110424,-118.334579,Mild (1-2)
34.152294,-83.646362,Severe (3-4)
32.67329,-117.082588,Severe (3-4)
38.446655,-122.196915,Mild (1-2)
38.578304,-122.605103,Mild (1-2)
41.273495,-95.977524,Mild (1-2)
36.403473,-121.316559,Mild (1-2)
38.113052,-122.229935,Severe (3-4)
32.771358,-117.131485,Severe (3-4)
37.780228,-122.398766,Severe (3-4)
37.740299,-122.40786,Mild (1-2)
33.878784,-84.272743,Severe (3-4)
33.8456,-117.003998,Mild (1-2)
33.883846000000005,-117.528252,Mild (1-2)
25.732506,-80.359741,Mild (1-2)
37.535507,-122.075211,Mild (1-2)
38.510448,-121.460121,Mild (1-2)
25.862013,-80.208099,Severe (3-4)
33.069041999999996,-117.29358700000002,Severe (3-4)
41.830223,-88.168304,Mild (1-2)
33.473316,-82.126785,Mild (1-2)
34.036751,-118.317757,Severe (3-4)
37.70071400000001,-121.773895,Severe (3-4)
37.295273,-121.913483,Mild (1-2)
33.816277,-84.250694,Severe (3-4)
37.197971,-121.99305,Mild (1-2)
34.060608,-118.173485,Severe (3-4)
33.055782,-117.071579,Severe (3-4)
25.866604,-80.323013,Mild (1-2)
37.4189,-121.950783,Mild (1-2)
25.918158,-80.211861,Mild (1-2)
33.751446,-84.446114,Severe (3-4)
41.732113,-86.005997,Severe (3-4)
26.705933,-80.075378,Severe (3-4)
25.956137,-80.229248,Mild (1-2)
34.488594,-118.162903,Mild (1-2)
25.869213,-80.208313,Severe (3-4)
34.073669,-118.467232,Severe (3-4)
33.941364,-118.096634,Severe (3-4)
26.421614,-81.811401,Mild (1-2)
33.759335,-84.37207,Mild (1-2)
28.530483,-81.475647,Mild (1-2)
33.876301,-118.158997,Mild (1-2)
34.034126,-118.027214,Mild (1-2)
38.493031,-122.892868,Mild (1-2)
27.903406,-82.343964,Severe (3-4)
27.534934999999997,-81.51200899999998,Mild (1-2)
33.938202000000004,-118.348259,Mild (1-2)
33.974751,-118.247681,Mild (1-2)
33.812560999999995,-84.368774,Severe (3-4)
34.025208,-118.238091,Severe (3-4)
33.843379999999996,-84.48767099999998,Severe (3-4)
26.839661,-80.10174599999998,Severe (3-4)
34.377811,-118.493652,Mild (1-2)
33.7742,-118.049782,Severe (3-4)
37.69659,-121.921097,Severe (3-4)
34.41048,-118.780258,Severe (3-4)
34.120468,-118.271271,Severe (3-4)
34.174515,-84.758995,Severe (3-4)
38.662907,-123.227989,Mild (1-2)
37.256069,-121.871117,Mild (1-2)
38.574141999999995,-121.383118,Mild (1-2)
27.338223,-82.446991,Mild (1-2)
37.355114,-122.062096,Mild (1-2)
37.317062,-121.94059,Severe (3-4)
38.016769,-121.990753,Mild (1-2)
34.033264,-118.184631,Mild (1-2)
28.594847,-81.385971,Mild (1-2)
28.642521,-81.35466,Mild (1-2)
27.493571999999997,-82.484863,Mild (1-2)
34.362159999999996,-117.433266,Severe (3-4)
38.233105,-122.587471,Mild (1-2)
37.920879,-122.317947,Severe (3-4)
33.845963,-117.82241100000002,Mild (1-2)
33.941013,-117.270203,Mild (1-2)
37.763103,-121.430145,Severe (3-4)
28.198574,-82.723396,Mild (1-2)
41.98901,-88.146591,Mild (1-2)
34.212063,-118.348564,Severe (3-4)
34.040321,-117.926582,Mild (1-2)
33.881221999999994,-84.453125,Severe (3-4)
28.357446999999997,-80.665077,Mild (1-2)
28.321354,-82.503052,Mild (1-2)
34.120487,-117.907539,Severe (3-4)
34.055695,-118.451965,Severe (3-4)
33.823448,-117.033714,Mild (1-2)
41.905678,-87.968887,Mild (1-2)
41.183704,-95.938179,Mild (1-2)
37.4664,-121.905403,Severe (3-4)
34.209114,-84.12291,Mild (1-2)
33.266689,-117.158546,Mild (1-2)
34.134772999999996,-117.634903,Mild (1-2)
33.18108400000001,-117.335068,Mild (1-2)
38.430595,-122.725304,Mild (1-2)
34.132465,-117.951126,Severe (3-4)
33.8396,-118.263474,Severe (3-4)
41.600533,-93.585793,Severe (3-4)
37.954807,-122.326584,Mild (1-2)
33.152198999999996,-117.336304,Severe (3-4)
33.340042,-117.508072,Severe (3-4)
37.334454,-122.037636,Severe (3-4)
29.335913,-81.130966,Severe (3-4)
34.077183000000005,-118.282005,Mild (1-2)
34.060863,-118.164833,Severe (3-4)
34.144859000000004,-117.298126,Mild (1-2)
38.191368,-120.669586,Mild (1-2)
28.45963900000001,-82.627296,Mild (1-2)
41.205273,-96.020897,Mild (1-2)
34.274746,-118.556549,Mild (1-2)
28.542442,-81.504784,Mild (1-2)
37.593128,-121.870636,Severe (3-4)
33.76017,-84.37928000000002,Severe (3-4)
27.495572999999997,-82.56304899999998,Mild (1-2)
33.605133,-117.691116,Severe (3-4)
33.834908,-117.835602,Mild (1-2)
27.70575,-82.436073,Mild (1-2)
34.256541999999996,-118.435097,Severe (3-4)
33.990845,-117.358818,Mild (1-2)
34.10561,-118.254356,Severe (3-4)
34.120468,-118.271271,Severe (3-4)
37.851349,-122.028984,Severe (3-4)
40.581897999999995,-89.141144,Severe (3-4)
38.3284,-122.022095,Severe (3-4)
27.893478,-82.645393,Severe (3-4)
41.28508400000001,-96.052605,Mild (1-2)
37.506687,-122.33744,Mild (1-2)
41.335709,-96.033379,Mild (1-2)
41.24880200000001,-96.05262,Mild (1-2)
38.211773,-122.144753,Severe (3-4)
41.9935,-88.268036,Mild (1-2)
34.120521999999994,-117.872604,Severe (3-4)
33.888973,-118.189003,Severe (3-4)
34.071758,-118.09948,Severe (3-4)
38.01302,-122.174561,Mild (1-2)
38.655796,-121.533295,Severe (3-4)
33.928444,-118.239044,Severe (3-4)
26.278291999999997,-81.598839,Mild (1-2)
33.935241999999995,-118.092728,Severe (3-4)
34.266998,-118.443596,Mild (1-2)
27.96475,-82.452522,Severe (3-4)
33.781532,-84.390869,Severe (3-4)
41.600376,-93.654419,Mild (1-2)
34.065151,-117.318199,Severe (3-4)
26.121593,-80.168968,Severe (3-4)
41.224289,-96.086113,Severe (3-4)
37.965778,-121.238892,Mild (1-2)
34.008308,-117.8871,Mild (1-2)
34.036762,-118.023766,Severe (3-4)
33.846484999999994,-84.247078,Severe (3-4)
33.927361,-117.419693,Mild (1-2)
37.970963,-122.243095,Mild (1-2)
32.928032,-85.10932199999998,Severe (3-4)
41.234043,-96.107475,Mild (1-2)
32.688377,-117.093437,Severe (3-4)
33.99345,-118.069351,Severe (3-4)
33.876289,-118.102577,Severe (3-4)
32.771122,-117.135384,Severe (3-4)
41.264801,-95.980728,Mild (1-2)
42.047134,-88.330147,Mild (1-2)
27.441093,-82.45920600000002,Severe (3-4)
39.079788,-120.959267,Mild (1-2)
28.46034,-81.310051,Mild (1-2)
42.041714,-88.27954100000002,Mild (1-2)
33.984337,-117.842659,Mild (1-2)
28.593121999999997,-81.38203399999998,Severe (3-4)
28.472305,-81.42319499999998,Mild (1-2)
26.260412,-80.133423,Severe (3-4)
37.93515,-122.516548,Mild (1-2)
33.136677,-117.136765,Mild (1-2)
34.060612,-118.243851,Mild (1-2)
34.037216,-118.284004,Severe (3-4)
32.774281,-117.045929,Severe (3-4)
42.010075,-87.868378,Severe (3-4)
34.173286,-118.535599,Mild (1-2)
34.010056,-117.823219,Mild (1-2)
37.627369,-122.081245,Severe (3-4)
33.465027,-81.95974,Mild (1-2)
33.928162,-118.238976,Severe (3-4)
34.087158,-117.682365,Severe (3-4)
38.242306,-122.08654,Severe (3-4)
37.66637,-122.107491,Severe (3-4)
28.522713,-81.506454,Mild (1-2)
28.411926,-80.833313,Mild (1-2)
34.189102,-84.505577,Severe (3-4)
34.150642,-118.467918,Mild (1-2)
39.713467,-84.216095,Mild (1-2)
28.540540999999997,-81.28569,Severe (3-4)
27.93782,-82.261108,Mild (1-2)
34.16098,-118.469437,Mild (1-2)
37.717751,-121.53215,Severe (3-4)
34.029423,-118.154549,Mild (1-2)
34.048522999999996,-117.719856,Mild (1-2)
41.629616,-93.543671,Mild (1-2)
33.856784999999995,-118.028526,Mild (1-2)
33.765018,-84.493874,Severe (3-4)
38.777859,-90.389488,Severe (3-4)
37.671791,-121.845108,Mild (1-2)
28.027067,-82.152771,Severe (3-4)
33.757103,-84.468964,Severe (3-4)
37.720703,-122.178223,Severe (3-4)
27.791887,-82.679482,Mild (1-2)
32.663845,-117.06063799999998,Mild (1-2)
28.690607,-81.38861800000002,Severe (3-4)
34.120521999999994,-117.872604,Severe (3-4)
34.126991,-118.090981,Mild (1-2)
41.802509,-87.929283,Mild (1-2)
27.522636,-82.516098,Mild (1-2)
37.912777,-122.066925,Severe (3-4)
27.949987,-82.401596,Mild (1-2)
33.907005,-84.280411,Severe (3-4)
27.956247,-82.499016,Severe (3-4)
26.136631,-80.16950200000002,Severe (3-4)
34.066429,-117.990883,Severe (3-4)
37.798241,-122.21711,Severe (3-4)
33.592133000000004,-117.241867,Severe (3-4)
33.021133,-117.10048700000002,Mild (1-2)
32.707329,-117.096664,Severe (3-4)
34.140709,-118.277473,Severe (3-4)
38.234604,-121.171463,Mild (1-2)
41.845695,-88.006416,Mild (1-2)
28.027182,-82.18695100000002,Severe (3-4)
37.721279,-122.448204,Severe (3-4)
37.686584,-121.057472,Mild (1-2)
41.84343300000001,-88.016411,Mild (1-2)
33.978611,-118.127716,Severe (3-4)
38.401314,-123.094299,Mild (1-2)
37.548061,-122.291321,Mild (1-2)
